maingroup,mg_def
A22C29,"PROCESSING MEAT, POULTRY, OR FISH  - Processing shellfish "
A23B4,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS - General methods for preserving meat, sausages, fish or fish products"
A23B5,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS - Preservation of eggs or egg products "
A23B7,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS - Preservation or chemical ripening of fruit or vegetables"
A23B9,"PRESERVING, e.g. BY CANNING, MEAT, FISH, EGGS, FRUIT, VEGETABLES, EDIBLE SEEDS - Preservation of edible seeds, e.g. cereals"
A23C1,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Concentration, evaporation or drying "
A23C3,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Preservation of milk or milk preparations "
A23C7,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Other dairy technology"
A23C9,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Milk preparations"
A23C11,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Milk substitutes, e.g. coffee whitener compositions "
A23C13,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Cream"
A23C15,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Butter"
A23C17,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Buttermilk"
A23C19,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Cheese"
A23C20,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Cheese substitutes "
A23C21,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Whey"
A23C23,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Other dairy products"
A23C2200,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Special features"
A23C2210,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Physical treatment of dairy products "
A23C2220,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Biochemical treatment "
A23C2230,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Aspects relating to animal feed or genotype "
A23C2240,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Use or particular additives or ingredients "
A23C2250,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Particular aspects related to cheese "
A23C2260,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Particular aspects or types of dairy products "
A23C2270,"DAIRY PRODUCTS, e.g. MILK, BUTTER, CHEESE - Aspects relating to packaging "
A23D7,"EDIBLE OILS OF FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS  - Edible oil or fat compositions containing an aqueous phase, e.g. margarines"
A23D9,"EDIBLE OILS OF FATS, e.g. MARGARINES, SHORTENINGS, COOKING OILS  - Other edible oils or fats, e.g. shortenings, cooking oils"
A23F3,COFFEE - Tea
A23F5,COFFEE - Coffee
A23F2200,COFFEE - Special features
A23G1,COCOA - Cocoa
A23G3,COCOA - Sweetmeats
A23G4,COCOA - Chewing gum 
A23G7,COCOA - Other apparatus 
A23G9,"COCOA - Frozen sweets, e.g. ice confectionery, ice-cream"
A23G2200,"COCOA - containing organic compounds, e.g. synthetic flavouring agents"
A23G2210,COCOA - containing inorganic compounds or water in high or low amount
A23G2220,COCOA - Products with special structure
A23J1,PROTEIN COMPOSITIONS FOR FOODSTUFFS - Obtaining protein compositions for foodstuffs
A23J3,PROTEIN COMPOSITIONS FOR FOODSTUFFS - Working-up of proteins for foodstuffs
A23J7,"PROTEIN COMPOSITIONS FOR FOODSTUFFS - Phosphatide compositions for foodstuffs, e.g. lecithin"
A23K10,FODDER - Animal feeding-stuffs
A23K20,FODDER - Accessory food factors for animal feeding-stuffs
A23K30,FODDER - Processes specially adapted for preservation of materials in order to produce animal feeding-stuffs
A23K40,FODDER - Shaping or working-up of animal feeding-stuffs
A23K50,FODDER - Feeding-stuffs specially adapted for particular animals
A23L2,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Non-alcoholic beverages"
A23L3,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Preservation of foods or foodstuffs, in general, e.g. pasteurising, sterilising, specially adapted for foods or foodstuffs "
A23L5,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Preparation or treatment of foods or foodstuffs, in general"
A23L7,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Cereal-derived products"
A23L9,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Puddings"
A23L11,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Pulses, i.e. fruits of leguminous plants, for production of fodder or food"
A23L13,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Meat products"
A23L15,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Egg products"
A23L17,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Food-from-the-sea products"
A23L19,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Products from fruits or vegetables"
A23L21,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Marmalades, jams, jellies or the like"
A23L23,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Soups"
A23L25,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Food consisting mainly of nutmeat or seeds"
A23L27,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Spices"
A23L29,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Foods or foodstuffs containing additives "
A23L31,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Edible extracts or preparations of fungi"
A23L33,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Modifying nutritive qualities of foods"
A23L35,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES A23B-A23J - Food or foodstuffs not provided for in groups A23L5/00  A23L33/00"
A23N1,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines or apparatus for extracting juice "
A23N3,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines for coring or stoning fruit, characterised by their feeding device "
A23N4,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines for stoning fruit or removing seed-containing sections from fruit, characterised by their stoning or removing device "
A23N5,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines for hulling, husking or cracking nuts "
A23N7,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Peeling vegetables or fruit "
A23N11,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Removing pith from stems"
A23N12,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines for cleaning, blanching, drying or roasting fruits or vegetables, e.g. coffee, cocoa, nuts "
A23N15,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Machines or apparatus for other treatment of fruits or vegetables for human purposes"
A23N17,"MACHINES OR APPARATUS FOR TREATING HARVESTED FRUIT, VEGETABLES OR FLOWER BULBS IN BULK, NOT OTHERWISE PROVIDED FOR - Apparatus specially adapted for preparing animal feeding-stuffs "
A23P10,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS  - Shaping or working of foodstuffs characterised by the products"
A23P20,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS  - Coating of foodstuffs"
A23P30,"SHAPING OR WORKING OF FOODSTUFFS, NOT FULLY COVERED BY A SINGLE OTHER SUBCLASS  - Shaping or working of foodstuffs characterised by the process or apparatus "
A23V2002,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES - Food compositions, function of food ingredients or processes for food or foodstuffs"
A23V2200,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES - Function of food ingredients "
A23V2250,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES - Food ingredients "
A23V2300,"INDEXING SCHEME RELATING TO FOODS, FOODSTUFFS OR NON-ALCOHOLIC BEVERAGES - Processes "
A23Y2220,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Lactobacillus
A23Y2240,"INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Streptococcus, lactococcus"
A23Y2260,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Leuconostoc
A23Y2280,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Pediococcus
A23Y2300,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Bifidobacterium
A23Y2320,INDEXING SCHEME RELATING TO LACTIC OR PROPIONIC ACID BACTERIA USED IN FOODSTUFFS OR FOOD PREPARATION - Propionibacterium
A24B1,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Preparation of tobacco on the plantation 
A24B3,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Preparing tobacco in the factory
A24B5,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Stripping tobacco
A24B7,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Cutting tobacco 
A24B9,"MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Control of the moisture content of tobacco products, e.g. cigars, cigarettes, pipe tobacco "
A24B11,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Tobacco-twisting machines
A24B13,"MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Tobacco for pipes, for cigars, e.g. cigar inserts, or for cigarettes"
A24B15,MANUFACTURE OR PREPARATION OF TOBACCO FOR SMOKING OR CHEWING - Chemical features or treatment of tobacco
A24C1,MACHINES FOR MAKING CIGARS OR CIGARETTES - Elements of cigar manufacture 
A24C3,MACHINES FOR MAKING CIGARS OR CIGARETTES - Complete manufacture of cigars
A24C5,MACHINES FOR MAKING CIGARS OR CIGARETTES - Making cigarettes
A24D1,CIGARS - Cigars
A24D3,"CIGARS - Tobacco smoke filters, e.g. filter-tips, filtering inserts "
A24F1,SMOKERS' REQUISITES - Tobacco pipes 
A24F3,SMOKERS' REQUISITES - Tobacco pipes combined with other objects 
A24F5,SMOKERS' REQUISITES - Bowls for pipes
A24F7,SMOKERS' REQUISITES - Mouthpieces for pipes
A24F9,SMOKERS' REQUISITES - Accessories for smokers' pipes
A24F11,SMOKERS' REQUISITES - Seasoning of tobacco pipes
A24F13,SMOKERS' REQUISITES - Appliances for smoking cigars or cigarettes
A24F15,SMOKERS' REQUISITES - Cigar or cigarette receptacles or boxes 
A24F17,SMOKERS' REQUISITES - Receptacles for cigarette papers
A24F19,SMOKERS' REQUISITES - Ash-trays 
A24F21,SMOKERS' REQUISITES - Stands for smokers' requisites
A24F23,"SMOKERS' REQUISITES - Cases for tobacco, snuff, or chewing tobacco"
A24F25,"SMOKERS' REQUISITES - Devices used by the smoker for controlling the moisture content of or for scenting cigars, cigarettes or tobacco "
A24F27,SMOKERS' REQUISITES - Match receptacles or boxes 
A24F29,SMOKERS' REQUISITES - Devices for igniting matches
A24F31,SMOKERS' REQUISITES - Pipe-spills
A24F47,"SMOKERS' REQUISITES - Smokers' requisites not provided for elsewhere, "
A24F2700,SMOKERS' REQUISITES - Tobacco pipes
A41B1,SHIRTS - Shirts
A41B3,SHIRTS - Collars 
A41B5,SHIRTS - Fold-line formings for collars or cuffs 
A41B7,SHIRTS - Cuffs 
A41B9,SHIRTS - Undergarments 
A41B11,SHIRTS - Hosiery
A41B13,SHIRTS - Baby linen 
A41B15,SHIRTS - Handkerchiefs
A41B17,SHIRTS - Selection of special materials for underwear
A41B2300,"SHIRTS - Details of underwear, baby linen or handkerchiefs"
A41B2400,"SHIRTS - Functions or special features of underwear, baby linen or handkerchiefs"
A41B2500,"SHIRTS - Materials for underwear, baby linen or handkerchiefs"
A41C1,CORSETS - Corsets or girdles 
A41C3,CORSETS - Brassieres
A41C5,"CORSETS - Machines, appliances, or methods for manufacturing corsets or brassieres"
A41D1,OUTERWEAR - Garments 
A41D3,OUTERWEAR - Overgarments 
A41D5,OUTERWEAR - Fur garments
A41D7,OUTERWEAR - Bathing gowns
A41D10,OUTERWEAR - Pyjamas
A41D11,OUTERWEAR - Garments for children
A41D13,"OUTERWEAR - Professional, industrial, or sporting protective garments, e.g. garments affording protection against blows or punches, surgeon's gowns "
A41D15,OUTERWEAR - Convertible garments
A41D17,OUTERWEAR - Gaiters
A41D19,OUTERWEAR - Gloves 
A41D20,"OUTERWEAR - Wristbands or headbands, e.g. for absorbing sweat "
A41D23,OUTERWEAR - Scarves
A41D25,OUTERWEAR - Neckties
A41D27,OUTERWEAR - Details of garments or of their making 
A41D29,OUTERWEAR - Uniforms
A41D31,OUTERWEAR - Selection of special materials for outerwear
A41D2200,OUTERWEAR - Components of garments
A41D2300,OUTERWEAR - Details of garments
A41D2400,OUTERWEAR - Functions or special features of garments
A41D2500,OUTERWEAR - Materials for garments
A41D2600,OUTERWEAR - Uses of garments specially adapted for specific purposes
A41F1,GARMENT FASTENINGS - Fastening devices specially adapted for garments 
A41F3,GARMENT FASTENINGS - Braces
A41F5,"GARMENT FASTENINGS - Trouser supports attached to the shirt, waistcoat, or the like"
A41F7,GARMENT FASTENINGS - Devices for connecting underpants to trousers
A41F9,"GARMENT FASTENINGS - Belts, girdles, or waistbands for trousers or skirts"
A41F11,GARMENT FASTENINGS - Stocking or sock suspenders
A41F13,GARMENT FASTENINGS - Other devices for supporting or holding stockings or socks during wear
A41F15,GARMENT FASTENINGS - Shoulder or like straps
A41F17,GARMENT FASTENINGS - Means for holding-down garments
A41F18,GARMENT FASTENINGS - Garment suspenders covered by two or more of groups A41F3/00-A41F17/00
A41F19,GARMENT FASTENINGS - Garment suspenders not otherwise provided for
A41G1,"ARTIFICIAL FLOWERS - Artificial flowers, fruit, leaves, or trees "
A41G3,ARTIFICIAL FLOWERS - Wigs 
A41G5,"ARTIFICIAL FLOWERS - Hair pieces, inserts, rolls, pads, or the like"
A41G7,"ARTIFICIAL FLOWERS - Masks or dominoes for concealing identity, e.g. for theatrical use"
A41G9,ARTIFICIAL FLOWERS - Adornments of natural feathers
A41G11,ARTIFICIAL FLOWERS - Artificial feathers
A41H1,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Measuring aids or methods "
A41H3,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Patterns for cutting-out"
A41H5,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Dress forms"
A41H9,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Devices or methods for trimming, levelling, or straightening the hems of garments "
A41H11,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Tracing-wheels"
A41H15,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Cloth-holders"
A41H17,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Cushions for needles or pins "
A41H19,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Boxes for needles or pins"
A41H21,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Supports for the body wilst trying-on or fitting"
A41H23,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Devices for applying chalk"
A41H25,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Appliances or methods for marking-out, perforating, or making buttonholes "
A41H27,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Mending garments by adhesives or adhesive patches"
A41H31,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Other aids for tailors"
A41H33,"APPLIANCES OR METHODS FOR MAKING CLOTHES, e.g. FOR DRESS-MAKING, FOR TAILORING, NOT OTHERWISE PROVIDED FOR  - Machines or appliances for folding the edges of collars, cuffs, or the like while manufacturing "
